Job Title,Candidate,Similarity Score
Sales Specialist,candidate_20400279.pt,0.8378661870956421
Sales Specialist,candidate_74552449.pt,0.8375542163848877
Sales Specialist,candidate_20082776.pt,0.836972177028656
Sales Specialist,candidate_35157762.pt,0.8368973135948181
Sales Specialist,candidate_27176039.pt,0.8361065983772278
Apple Solutions Consultant,candidate_20082776.pt,0.8343693017959595
Apple Solutions Consultant,candidate_15471999.pt,0.8327732682228088
Apple Solutions Consultant,candidate_73077810.pt,0.8327715992927551
Apple Solutions Consultant,candidate_23818675.pt,0.8325901031494141
Apple Solutions Consultant,candidate_35157762.pt,0.8325597047805786
Licensing Coordinator - Consumer Products,candidate_74552449.pt,0.8673424124717712
Licensing Coordinator - Consumer Products,candidate_35157762.pt,0.8651390075683594
Licensing Coordinator - Consumer Products,candidate_71499299.pt,0.8636664748191833
Licensing Coordinator - Consumer Products,candidate_29784524.pt,0.8635174036026001
Licensing Coordinator - Consumer Products,candidate_25023614.pt,0.8632819056510925
Web Designer,candidate_20082776.pt,0.8624926209449768
Web Designer,candidate_74552449.pt,0.8616917729377747
Web Designer,candidate_35157762.pt,0.8616076707839966
Web Designer,candidate_29784524.pt,0.8602950572967529
Web Designer,candidate_20400279.pt,0.8599362373352051
Web Developer,candidate_27176039.pt,0.8592301607131958
Web Developer,candidate_22754014.pt,0.8579087257385254
Web Developer,candidate_15636923.pt,0.8577463030815125
Web Developer,candidate_86549455.pt,0.8566160202026367
Web Developer,candidate_20400279.pt,0.8562448620796204
Frontend Web Developer,candidate_29908929.pt,0.8286095261573792
Frontend Web Developer,candidate_59818742.pt,0.8278073072433472
Frontend Web Developer,candidate_15471999.pt,0.8275854587554932
Frontend Web Developer,candidate_21478007.pt,0.8275700211524963
Frontend Web Developer,candidate_71499299.pt,0.8275303840637207
Remote Website Designer,candidate_74552449.pt,0.8702468276023865
Remote Website Designer,candidate_35157762.pt,0.8679648041725159
Remote Website Designer,candidate_11266906.pt,0.8670910596847534
Remote Website Designer,candidate_10466583.pt,0.866726815700531
Remote Website Designer,candidate_21265194.pt,0.8662939071655273
SR. Web Designer,candidate_35157762.pt,0.8803926110267639
SR. Web Designer,candidate_20400279.pt,0.879601001739502
SR. Web Designer,candidate_74552449.pt,0.8784857392311096
SR. Web Designer,candidate_91268638.pt,0.8782537579536438
SR. Web Designer,candidate_51769822.pt,0.8774466514587402
Senior UI Designer,candidate_74552449.pt,0.841265082359314
Senior UI Designer,candidate_11266906.pt,0.8381583094596863
Senior UI Designer,candidate_35157762.pt,0.8379684686660767
Senior UI Designer,candidate_25023614.pt,0.837270975112915
Senior UI Designer,candidate_20400279.pt,0.8367891311645508
Wordpress Web Developer,candidate_29908929.pt,0.8500857949256897
Wordpress Web Developer,candidate_33750209.pt,0.8489188551902771
Wordpress Web Developer,candidate_20082776.pt,0.8485201001167297
Wordpress Web Developer,candidate_15636923.pt,0.8483521342277527
Wordpress Web Developer,candidate_16474898.pt,0.8476938605308533
UI Web Designer,candidate_35157762.pt,0.8613771200180054
UI Web Designer,candidate_29784524.pt,0.8605771064758301
UI Web Designer,candidate_48580330.pt,0.8604623675346375
UI Web Designer,candidate_20400279.pt,0.8600420355796814
UI Web Designer,candidate_25023614.pt,0.8599398732185364
Senior Web Designer (REMOTE),candidate_74552449.pt,0.8598884344100952
Senior Web Designer (REMOTE),candidate_35157762.pt,0.8598722815513611
Senior Web Designer (REMOTE),candidate_28020046.pt,0.8585174679756165
Senior Web Designer (REMOTE),candidate_20400279.pt,0.8574447631835938
Senior Web Designer (REMOTE),candidate_11266906.pt,0.8574007749557495
Chief Executive Officer,candidate_74552449.pt,0.8342927694320679
